law,law_number,punished,punished_percent,punishment,punishment_order,punishment_text
"Статья 19.7.1. Непредставление сведений или представление заведомо недостоверных сведений в орган, осуществляющий государственный контроль (надзор) в области регулируемых государством цен (тарифов)",19.07,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 19.7.1. Непредставление сведений или представление заведомо недостоверных сведений в орган, осуществляющий государственный контроль (надзор) в области регулируемых государством цен (тарифов)",19.07,3,0.028037383177570093,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 19.7.1. Непредставление сведений или представление заведомо недостоверных сведений в орган, осуществляющий государственный контроль (надзор) в области регулируемых государством цен (тарифов)",19.07,0,0.0,Конфискация,4,Конфискация
"Статья 19.7.1. Непредставление сведений или представление заведомо недостоверных сведений в орган, осуществляющий государственный контроль (надзор) в области регулируемых государством цен (тарифов)",19.07,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 19.7.1. Непредставление сведений или представление заведомо недостоверных сведений в орган, осуществляющий государственный контроль (надзор) в области регулируемых государством цен (тарифов)",19.07,104,0.9719626168224299,Штраф,1,Штраф
Статья 14.6. Нарушение порядка ценообразования,14.06,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 14.6. Нарушение порядка ценообразования,14.06,12,0.05128205128205128,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 14.6. Нарушение порядка ценообразования,14.06,0,0.0,Конфискация,4,Конфискация
Статья 14.6. Нарушение порядка ценообразования,14.06,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 14.6. Нарушение порядка ценообразования,14.06,222,0.9487179487179487,Штраф,1,Штраф
"Статья 7.12. Нарушение авторских и смежных прав, изобретательских и патентных прав",7.12,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 7.12. Нарушение авторских и смежных прав, изобретательских и патентных прав",7.12,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 7.12. Нарушение авторских и смежных прав, изобретательских и патентных прав",7.12,0,0.0,Конфискация,4,Конфискация
